time (s),Amplitude - Plot 0
0.458,-25.9781
0.459,-25.8923
0.46,-25.5489
0.461,-25.835
0.462,-25.0626
0.463,-23.9611
0.464,-24.24
0.465,-23.6607
0.466,-23.5963
0.467,-22.738
0.468,-21.708
0.469,-21.6937
0.47,-21.0214
0.471,-21.2002
0.472,-21.1644
0.473,-19.4836
0.474,-18.8184
0.475,-18.4894
0.476,-17.7312
0.477,-17.8814
0.478,-17.7813
0.479,-16.2506
0.48,-15.5497
0.481,-14.8988
0.482,-14.5769
0.483,-13.4826
0.484,-13.4182
0.485,-12.9676
0.486,-12.567
0.487,-11.251
0.488,-10.0708
0.489,-9.6488
0.49,-8.98361
0.491,-8.31842
0.492,-7.89642
0.493,-7.1311
0.494,-6.27279
0.495,-5.35727
0.496,-4.80652
0.497,-4.16279
0.498,-3.49045
0.499,-2.68221
0.5,-1.83821
0.501,-1.13726
0.502,-0.393391
0.503,0.157356
0.504,0.379086
0.505,0.543594
0.506,0.679493
0.507,0.901222
0.508,1.30892
0.509,1.89543
0.51,2.49624
0.511,3.17574
0.512,3.93391
0.513,4.86374
0.514,5.77211
0.515,6.845
0.516,7.87497
0.517,8.6689
0.518,9.19819
0.519,10.2782
0.52,10.9076
0.521,12.1665
0.522,13.3824
0.523,13.4611
0.524,14.2622
0.525,14.7915
0.526,16.1648
0.527,16.3651
0.528,17.2019
0.529,18.6968
0.53,18.8756
0.531,19.176
0.532,20.0701
0.533,20.7567
0.534,21.4863
0.535,23.0455
0.536,22.5234
0.537,22.366
0.538,23.6249
0.539,24.0111
0.54,25.785
0.541,25.1555
0.542,25.034
0.543,25.6562
0.544,26.1998
0.545,27.4944
0.546,26.7792
0.547,27.3585
0.548,27.4229
0.549,28.7104
0.55,27.7376
0.551,28.5459
0.552,28.6317
0.553,30.1981
0.554,28.5745
0.555,29.1324
0.556,29.2897
0.557,31.0349
0.558,29.4256
0.559,29.7046
0.56,29.4113
0.561,31.0493
0.562,29.6402
0.563,29.912
0.564,29.4399
0.565,30.8919
0.566,29.4542
0.567,29.49
0.568,29.2468
0.569,30.4055
0.57,28.9679
0.571,28.8033
0.572,28.6245
0.573,29.5973
0.574,28.0166
0.575,27.6661
0.576,27.2226
0.577,28.46
0.578,26.8078
0.579,25.928
0.58,25.6276
0.581,26.2356
0.582,25.4631
0.583,23.7823
0.584,24.2114
0.585,23.6392
0.586,23.6964
0.587,22.5735
0.588,21.3861
0.589,21.565
0.59,20.5564
