time (s),Amplitude - Plot 0
1.457,1.62103
1.458,-0.576007
1.459,-2.77145
1.46,-4.95349
1.461,-7.11035
1.462,-9.23034
1.463,-11.3019
1.464,-13.3138
1.465,-15.255
1.466,-17.1148
1.467,-18.8829
1.468,-20.5496
1.469,-22.1055
1.47,-23.542
1.471,-24.8509
1.472,-26.0249
1.473,-27.0572
1.474,-27.9419
1.475,-28.6738
1.476,-29.2486
1.477,-29.6628
1.478,-29.9139
1.479,-30
1.48,-29.9204
1.481,-29.6751
1.482,-29.2653
1.483,-28.6928
1.484,-27.9605
1.485,-27.0721
1.486,-26.0324
1.487,-24.8467
1.488,-23.5214
1.489,-22.0637
1.49,-20.4814
1.491,-18.7832
